index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
218,8,4,5,2,1,32,0,5,5,132.322,30,0,1,248 2 
219,2,2,4,9,1,21,0,8,8,116.675,30,0,1,248 9 
220,4,2,5,21,1,13,1,2,8,57.306000000000004,30,0,1,248 21 
221,8,1,1,7,1,26,0,2,7,124.39399999999999,30,0,1,248 7 
222,1,4,4,19,0,30,1,6,3,143.825,30,0,1,248 19 
223,2,4,4,20,0,25,0,12,5,142.858,30,0,1,248 20 
224,1,8,1,18,0,10,0,14,7,255.037,30,0,1,248 18 
225,8,2,8,12,1,29,1,8,5,67.91199999999999,30,0,1,248 12 
226,2,2,4,22,1,12,1,3,1,75.563,30,0,1,248 22 
227,4,4,8,29,1,3,0,7,1,54.258,30,0,1,248 29 
228,4,1,1,8,1,25,1,15,6,341.269,30,0,1,248 8 
229,2,4,8,11,1,26,1,1,1,219.59,30,0,1,248 11 
230,2,8,1,3,1,17,1,10,6,330.163,30,0,1,248 3 
231,8,2,5,24,0,18,0,6,9,110.831,30,0,1,248 24 
232,4,4,8,2,1,4,1,15,3,120.677,30,0,1,248 2 
233,8,2,8,13,0,26,1,14,8,93.171,30,0,1,248 13 
234,2,4,6,19,1,4,1,8,9,60.07899999999999,30,0,1,248 19 
235,2,1,4,20,0,46,0,1,5,56.25899999999999,30,0,1,248 20 
236,4,8,6,3,0,14,0,10,9,56.231,30,0,1,248 3 
237,4,2,6,12,0,46,0,6,2,55.376999999999995,30,0,1,248 12 
238,1,1,6,20,1,21,1,12,9,57.073,30,0,1,248 20 
239,4,8,8,9,0,21,0,12,4,54.648999999999994,30,0,1,248 9 
240,4,2,8,25,0,11,1,2,1,57.251000000000005,30,0,1,248 25 
241,1,2,5,26,1,47,0,12,2,57.42,30,0,1,248 26 
242,4,8,8,17,0,14,1,9,1,53.589,30,0,1,248 17 
