index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
113,1,4,7,20,1,49,1,11,7,422.026,10,0,1,88 8 
114,2,2,2,3,0,40,0,4,6,485.211,10,0,1,88 8 
115,8,1,4,3,0,23,0,14,4,446.014,10,0,1,88 8 
116,8,4,6,21,0,43,0,9,4,499.699,10,0,1,88 8 
117,8,1,5,25,0,46,1,13,2,438.50199999999995,10,0,1,88 8 
118,4,1,1,8,0,10,0,13,7,619.229,10,0,1,88 8 
119,2,8,7,20,0,16,0,11,5,497.94300000000004,10,0,1,88 8 
120,8,8,1,20,1,27,0,9,9,372.10900000000004,10,0,1,88 8 
121,8,4,2,26,1,46,0,14,7,477.407,10,0,1,88 8 
122,4,8,1,20,1,16,0,14,9,690.199,10,0,1,88 8 
123,1,4,1,7,1,14,0,9,4,836.275,10,0,1,88 8 
124,2,2,6,17,0,35,1,6,9,422.066,10,0,1,88 8 
125,8,1,7,7,0,10,1,5,7,397.65,10,0,1,88 8 
126,1,2,5,5,1,24,1,15,5,372.14599999999996,10,0,1,88 8 
127,8,8,3,27,1,27,0,3,7,246.25599999999997,10,0,1,88 8 
128,2,2,7,11,1,35,1,5,3,390.713,10,0,1,88 8 
129,4,2,5,20,0,31,0,14,8,395.894,10,0,1,88 8 
130,4,4,7,11,0,16,0,1,4,182.937,10,0,1,88 8 
131,4,4,4,29,1,9,1,14,6,352.42900000000003,10,0,1,88 8 
132,8,2,2,13,0,17,1,13,3,432.116,10,0,1,88 8 
133,2,4,6,20,0,14,1,11,7,360.06699999999995,10,0,1,88 8 
134,1,1,3,13,1,31,1,15,9,291.54200000000003,10,0,1,88 8 
135,2,1,6,4,0,26,0,10,9,306.202,10,0,1,88 8 
136,8,4,5,7,1,3,0,9,1,334.23,10,0,1,88 8 
137,8,4,3,15,1,14,1,15,8,306.744,10,0,1,88 8 
138,4,1,5,14,1,13,0,10,2,294.531,10,0,1,88 8 
139,4,2,1,13,1,23,1,7,2,539.4540000000001,10,0,1,88 8 
140,1,8,7,25,0,18,1,8,8,442.903,10,0,1,88 8 
141,1,4,6,10,0,4,0,14,7,295.769,10,0,1,88 8 
142,1,2,8,29,1,17,0,12,2,349.725,10,0,1,88 8 
143,4,4,8,8,1,18,0,15,9,255.09599999999998,10,0,1,88 8 
144,4,8,3,20,1,29,0,5,7,365.027,10,0,1,88 8 
145,4,1,6,11,0,19,0,8,4,229.22299999999998,10,0,1,88 8 
146,8,1,2,4,0,19,1,1,9,363.42,10,0,1,88 8 
147,2,1,8,6,0,18,0,9,9,440.075,10,0,1,88 8 
148,1,8,7,3,1,25,0,8,7,356.63,10,0,1,88 8 
149,8,1,2,2,0,17,0,5,8,565.048,10,0,1,88 8 
